name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
One Life - Radio Edit,2WQgBkUc74SgIi1mfCOY9l,0.358,0.889,1,-1.712,0,0.0869,0.0548,0.0,0.259,0.463,180.042,6
Drinking from the Bottle (feat. Tinie Tempah),1oHxIPqJyvAYHy0PVrDU98,0.665,0.886,9,-4.175,0,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,3
Watch Out For This (Bumaye),2goAet8lrGJ9T7rokT6lLc,0.812,0.755,10,-4.143,0,0.158,0.0184,5.56e-06,0.0684,0.871,108.029,3
Halt dein Maul,05q207shONzq488RXdV0S1,0.558,0.8,9,-3.776,1,0.173,0.0104,0.0,0.234,0.812,150.068,6
Touch the Sky (feat. DJ Ammo),16lMe3mw46b7QRqO4eIdCZ,0.793,0.913,5,-5.324,0,0.17,0.00783,0.0761,0.246,0.681,129.99,3
One Night in Ibiza - Radio Mix,6uWxuKyqAp8y4SDoNJLTHU,0.711,0.917,2,-4.493,1,0.0638,0.012,9.06e-06,0.153,0.452,127.007,5
Not All About The Money (Radio Edit) [feat. Timbaland & Grooya],50kj6mfIMyySqjssvapXn3,0.725,0.921,1,-5.498,0,0.0633,0.139,0.0,0.277,0.92,131.608,3
Brand New Day - Radio Mix,0UDIeXlx3boAuEXGXINcyq,0.646,0.891,6,-2.681,0,0.0689,0.0355,0.0,0.176,0.522,127.962,3
House Party - Radio Edit,0ZOukZgcTuVWnS0lTyYmGY,0.699,0.915,10,-3.382,0,0.0564,0.0704,0.0,0.169,0.775,127.967,3
V.I.P.,6M8DGrxAeyKnqk01pP6Y1S,0.888,0.667,0,-6.374,1,0.124,0.0569,0.0,0.119,0.745,110.042,5
Hey Hey Hey [Pop Another Bottle] - feat. Swift K.I.D & Dev,7pvQVnD5GOX6FBbVfjo3Cw,0.761,0.838,5,-4.652,0,0.162,0.0713,0.0,0.926,0.962,128.011,1
Living in Stereo - Video Edit,20tfMuMy9uLAzCAOUL92zG,0.697,0.869,0,-5.155,0,0.162,0.13,0.0,0.306,0.709,127.915,3
Rack City,7LBohG6plAhWaHjuzi4CpY,0.928,0.326,1,-10.943,1,0.372,0.0428,2.56e-05,0.19,0.261,98.958,4
Tacatà - Radio Edit,51RBDu31r3ynFswDJmidLW,0.817,0.853,4,-5.915,1,0.12,0.00868,0.0,0.35,0.605,126.951,5
